chrom,start,end,name,name2,strand,Splice site,Splicing efficiency,HBV_genotype,Biological_materials,Transcript ID,coSI,Run
A2_A2_rep1_B,640,642,A2_A2_rep1_B.1.1,TCONS_00000016,+,donor,0.20505,A,Huh7,pSP8,$\theta_5$,SRR12424167
A2_A2_rep1_B,1211,1213,A2_A2_rep1_B.1.1,TCONS_00000016,+,donor,0.08238,A,Huh7,pSP8,$\theta_5$,SRR12424167
A2_A2_rep1_B,1866,1868,A2_A2_rep1_B.1.1,TCONS_00000016,+,donor,0.00391,A,Huh7,pSP8,$\theta_5$,SRR12424167
A2_A2_rep1_B,640,642,A2_A2_rep1_B.1.10,TCONS_00000013,+,donor,0.20505,A,Huh7,SP9,$\theta_5$,SRR12424167
A2_A2_rep1_B,1211,1213,A2_A2_rep1_B.1.11,TCONS_00000014,+,donor,0.08238,A,Huh7,SP14,$\theta_5$,SRR12424167
A2_A2_rep1_B,640,642,A2_A2_rep1_B.1.12,TCONS_00000015,+,donor,0.20505,A,Huh7,SP13,$\theta_5$,SRR12424167
A2_A2_rep1_B,664,666,A2_A2_rep1_B.1.13,TCONS_00000002,+,donor,0.02018,A,Huh7,SP6,$\theta_5$,SRR12424167
A2_A2_rep1_B,664,666,A2_A2_rep1_B.1.14,TCONS_00000003,+,donor,0.02018,A,Huh7,SP11,$\theta_5$,SRR12424167
A2_A2_rep1_B,1211,1213,A2_A2_rep1_B.1.15,TCONS_00000004,+,donor,0.08238,A,Huh7,pSP12,$\theta_5$,SRR12424167
A2_A2_rep1_B,640,642,A2_A2_rep1_B.1.2,TCONS_00000001,+,donor,0.20505,A,Huh7,pSP9,$\theta_5$,SRR12424167
A2_A2_rep1_B,1866,1868,A2_A2_rep1_B.1.2,TCONS_00000001,+,donor,0.00391,A,Huh7,pSP9,$\theta_5$,SRR12424167
A2_A2_rep1_B,640,642,A2_A2_rep1_B.1.3,TCONS_00000008,+,donor,0.20505,A,Huh7,SP7,$\theta_5$,SRR12424167
A2_A2_rep1_B,1211,1213,A2_A2_rep1_B.1.3,TCONS_00000008,+,donor,0.08238,A,Huh7,SP7,$\theta_5$,SRR12424167
A2_A2_rep1_B,664,666,A2_A2_rep1_B.1.4,TCONS_00000009,+,donor,0.02018,A,Huh7,SP18,$\theta_5$,SRR12424167
A2_A2_rep1_B,1211,1213,A2_A2_rep1_B.1.4,TCONS_00000009,+,donor,0.08238,A,Huh7,SP18,$\theta_5$,SRR12424167
A2_A2_rep1_B,640,642,A2_A2_rep1_B.1.5,TCONS_00000017,+,donor,0.20505,A,Huh7,pSP11,$\theta_5$,SRR12424167
A2_A2_rep1_B,1866,1868,A2_A2_rep1_B.1.5,TCONS_00000017,+,donor,0.00391,A,Huh7,pSP11,$\theta_5$,SRR12424167
A2_A2_rep1_B,640,642,A2_A2_rep1_B.1.9,TCONS_00000012,+,donor,0.20505,A,Huh7,SP1,$\theta_5$,SRR12424167
A2_A2_rep2,640,642,A2_A2_rep2.1.1,TCONS_00000008,+,donor,0.24862,A,Huh7,SP7,$\theta_5$,SRR12424168
A2_A2_rep2,1211,1213,A2_A2_rep2.1.1,TCONS_00000008,+,donor,0.04734,A,Huh7,SP7,$\theta_5$,SRR12424168
A2_A2_rep2,1211,1213,A2_A2_rep2.1.11,TCONS_00000004,+,donor,0.04734,A,Huh7,pSP12,$\theta_5$,SRR12424168
A2_A2_rep2,640,642,A2_A2_rep2.1.2,TCONS_00000001,+,donor,0.24862,A,Huh7,pSP9,$\theta_5$,SRR12424168
A2_A2_rep2,1866,1868,A2_A2_rep2.1.2,TCONS_00000001,+,donor,0.00587,A,Huh7,pSP9,$\theta_5$,SRR12424168
A2_A2_rep2,1211,1213,A2_A2_rep2.1.3,TCONS_00000009,+,donor,0.04734,A,Huh7,SP18,$\theta_5$,SRR12424168
A2_A2_rep2,640,642,A2_A2_rep2.1.5,TCONS_00000012,+,donor,0.24862,A,Huh7,SP1,$\theta_5$,SRR12424168
A2_A2_rep2,640,642,A2_A2_rep2.1.6,TCONS_00000013,+,donor,0.24862,A,Huh7,SP9,$\theta_5$,SRR12424168
A2_A2_rep2,1211,1213,A2_A2_rep2.1.7,TCONS_00000014,+,donor,0.04734,A,Huh7,SP14,$\theta_5$,SRR12424168
A2_A2_rep2,640,642,A2_A2_rep2.1.8,TCONS_00000015,+,donor,0.24862,A,Huh7,SP13,$\theta_5$,SRR12424168
B2_B2_rep1_A,634,636,B2_B2_rep1_A.1.1,TCONS_00000016,+,donor,0.25922,B,Huh7,pSP8,$\theta_5$,SRR12424169
B2_B2_rep1_A,1205,1207,B2_B2_rep1_A.1.1,TCONS_00000016,+,donor,0.07783,B,Huh7,pSP8,$\theta_5$,SRR12424169
B2_B2_rep1_A,1860,1862,B2_B2_rep1_A.1.1,TCONS_00000016,+,donor,0.07186,B,Huh7,pSP8,$\theta_5$,SRR12424169
B2_B2_rep1_A,634,636,B2_B2_rep1_A.1.10,TCONS_00000012,+,donor,0.25922,B,Huh7,SP1,$\theta_5$,SRR12424169
B2_B2_rep1_A,634,636,B2_B2_rep1_A.1.11,TCONS_00000013,+,donor,0.25922,B,Huh7,SP9,$\theta_5$,SRR12424169
B2_B2_rep1_A,1205,1207,B2_B2_rep1_A.1.12,TCONS_00000014,+,donor,0.07783,B,Huh7,SP14,$\theta_5$,SRR12424169
B2_B2_rep1_A,658,660,B2_B2_rep1_A.1.13,TCONS_00000002,+,donor,0.04627,B,Huh7,SP6,$\theta_5$,SRR12424169
B2_B2_rep1_A,634,636,B2_B2_rep1_A.1.14,TCONS_00000015,+,donor,0.25922,B,Huh7,SP13,$\theta_5$,SRR12424169
B2_B2_rep1_A,658,660,B2_B2_rep1_A.1.15,TCONS_00000003,+,donor,0.04627,B,Huh7,SP11,$\theta_5$,SRR12424169
B2_B2_rep1_A,634,636,B2_B2_rep1_A.1.16,TCONS_00000019,+,donor,0.25922,B,Huh7,pSP7,$\theta_5$,SRR12424169
B2_B2_rep1_A,1205,1207,B2_B2_rep1_A.1.17,TCONS_00000020,+,donor,0.07783,B,Huh7,41785_ccs,$\theta_5$,SRR12424169
B2_B2_rep1_A,274,276,B2_B2_rep1_A.1.18,TCONS_00000021,+,donor,0.02564,B,Huh7,SP5,$\theta_5$,SRR12424169
B2_B2_rep1_A,634,636,B2_B2_rep1_A.1.3,TCONS_00000017,+,donor,0.25922,B,Huh7,pSP11,$\theta_5$,SRR12424169
B2_B2_rep1_A,1860,1862,B2_B2_rep1_A.1.3,TCONS_00000017,+,donor,0.07186,B,Huh7,pSP11,$\theta_5$,SRR12424169
B2_B2_rep1_A,634,636,B2_B2_rep1_A.1.4,TCONS_00000001,+,donor,0.25922,B,Huh7,pSP9,$\theta_5$,SRR12424169
B2_B2_rep1_A,1860,1862,B2_B2_rep1_A.1.4,TCONS_00000001,+,donor,0.07186,B,Huh7,pSP9,$\theta_5$,SRR12424169
B2_B2_rep1_A,634,636,B2_B2_rep1_A.1.5,TCONS_00000008,+,donor,0.25922,B,Huh7,SP7,$\theta_5$,SRR12424169
B2_B2_rep1_A,1205,1207,B2_B2_rep1_A.1.5,TCONS_00000008,+,donor,0.07783,B,Huh7,SP7,$\theta_5$,SRR12424169
B2_B2_rep1_A,634,636,B2_B2_rep1_A.1.6,TCONS_00000023,+,donor,0.25922,B,Huh7,22200_ccs,$\theta_5$,SRR12424169
B2_B2_rep1_A,1205,1207,B2_B2_rep1_A.1.6,TCONS_00000023,+,donor,0.07783,B,Huh7,22200_ccs,$\theta_5$,SRR12424169
B2_B2_rep1_B,634,636,B2_B2_rep1_B.1.1,TCONS_00000016,+,donor,0.20734,B,Huh7,pSP8,$\theta_5$,SRR12424170
B2_B2_rep1_B,1205,1207,B2_B2_rep1_B.1.1,TCONS_00000016,+,donor,0.08288,B,Huh7,pSP8,$\theta_5$,SRR12424170
B2_B2_rep1_B,1860,1862,B2_B2_rep1_B.1.1,TCONS_00000016,+,donor,0.09614,B,Huh7,pSP8,$\theta_5$,SRR12424170
B2_B2_rep1_B,634,636,B2_B2_rep1_B.1.10,TCONS_00000012,+,donor,0.20734,B,Huh7,SP1,$\theta_5$,SRR12424170
B2_B2_rep1_B,634,636,B2_B2_rep1_B.1.11,TCONS_00000013,+,donor,0.20734,B,Huh7,SP9,$\theta_5$,SRR12424170
B2_B2_rep1_B,1205,1207,B2_B2_rep1_B.1.12,TCONS_00000014,+,donor,0.08288,B,Huh7,SP14,$\theta_5$,SRR12424170
B2_B2_rep1_B,658,660,B2_B2_rep1_B.1.13,TCONS_00000002,+,donor,0.02183,B,Huh7,SP6,$\theta_5$,SRR12424170
B2_B2_rep1_B,634,636,B2_B2_rep1_B.1.14,TCONS_00000015,+,donor,0.20734,B,Huh7,SP13,$\theta_5$,SRR12424170
B2_B2_rep1_B,658,660,B2_B2_rep1_B.1.15,TCONS_00000003,+,donor,0.02183,B,Huh7,SP11,$\theta_5$,SRR12424170
B2_B2_rep1_B,1205,1207,B2_B2_rep1_B.1.16,TCONS_00000020,+,donor,0.08288,B,Huh7,41785_ccs,$\theta_5$,SRR12424170
B2_B2_rep1_B,634,636,B2_B2_rep1_B.1.17,TCONS_00000019,+,donor,0.20734,B,Huh7,pSP7,$\theta_5$,SRR12424170
B2_B2_rep1_B,274,276,B2_B2_rep1_B.1.19,TCONS_00000021,+,donor,0.01367,B,Huh7,SP5,$\theta_5$,SRR12424170
B2_B2_rep1_B,634,636,B2_B2_rep1_B.1.2,TCONS_00000017,+,donor,0.20734,B,Huh7,pSP11,$\theta_5$,SRR12424170
B2_B2_rep1_B,1860,1862,B2_B2_rep1_B.1.2,TCONS_00000017,+,donor,0.09614,B,Huh7,pSP11,$\theta_5$,SRR12424170
B2_B2_rep1_B,634,636,B2_B2_rep1_B.1.3,TCONS_00000001,+,donor,0.20734,B,Huh7,pSP9,$\theta_5$,SRR12424170
B2_B2_rep1_B,1860,1862,B2_B2_rep1_B.1.3,TCONS_00000001,+,donor,0.09614,B,Huh7,pSP9,$\theta_5$,SRR12424170
B2_B2_rep1_B,634,636,B2_B2_rep1_B.1.4,TCONS_00000008,+,donor,0.20734,B,Huh7,SP7,$\theta_5$,SRR12424170
B2_B2_rep1_B,1205,1207,B2_B2_rep1_B.1.4,TCONS_00000008,+,donor,0.08288,B,Huh7,SP7,$\theta_5$,SRR12424170
B2_B2_rep1_B,658,660,B2_B2_rep1_B.1.5,TCONS_00000009,+,donor,0.02183,B,Huh7,SP18,$\theta_5$,SRR12424170
B2_B2_rep1_B,1205,1207,B2_B2_rep1_B.1.5,TCONS_00000009,+,donor,0.08288,B,Huh7,SP18,$\theta_5$,SRR12424170
B2_B2_rep1_B,634,636,B2_B2_rep1_B.1.6,TCONS_00000023,+,donor,0.20734,B,Huh7,22200_ccs,$\theta_5$,SRR12424170
B2_B2_rep1_B,1205,1207,B2_B2_rep1_B.1.6,TCONS_00000023,+,donor,0.08288,B,Huh7,22200_ccs,$\theta_5$,SRR12424170
B2_B2_rep2,634,636,B2_B2_rep2.1.1,TCONS_00000016,+,donor,0.28331,B,Huh7,pSP8,$\theta_5$,SRR12424171
B2_B2_rep2,1205,1207,B2_B2_rep2.1.1,TCONS_00000016,+,donor,0.03038,B,Huh7,pSP8,$\theta_5$,SRR12424171
B2_B2_rep2,1860,1862,B2_B2_rep2.1.1,TCONS_00000016,+,donor,0.0276,B,Huh7,pSP8,$\theta_5$,SRR12424171
B2_B2_rep2,634,636,B2_B2_rep2.1.10,TCONS_00000012,+,donor,0.28331,B,Huh7,SP1,$\theta_5$,SRR12424171
B2_B2_rep2,634,636,B2_B2_rep2.1.11,TCONS_00000013,+,donor,0.28331,B,Huh7,SP9,$\theta_5$,SRR12424171
B2_B2_rep2,658,660,B2_B2_rep2.1.12,TCONS_00000002,+,donor,0.02736,B,Huh7,SP6,$\theta_5$,SRR12424171
B2_B2_rep2,634,636,B2_B2_rep2.1.13,TCONS_00000015,+,donor,0.28331,B,Huh7,SP13,$\theta_5$,SRR12424171
B2_B2_rep2,1205,1207,B2_B2_rep2.1.14,TCONS_00000014,+,donor,0.03038,B,Huh7,SP14,$\theta_5$,SRR12424171
B2_B2_rep2,658,660,B2_B2_rep2.1.15,TCONS_00000003,+,donor,0.02736,B,Huh7,SP11,$\theta_5$,SRR12424171
B2_B2_rep2,634,636,B2_B2_rep2.1.16,TCONS_00000019,+,donor,0.28331,B,Huh7,pSP7,$\theta_5$,SRR12424171
B2_B2_rep2,274,276,B2_B2_rep2.1.18,TCONS_00000021,+,donor,0.03483,B,Huh7,SP5,$\theta_5$,SRR12424171
B2_B2_rep2,1205,1207,B2_B2_rep2.1.19,TCONS_00000004,+,donor,0.03038,B,Huh7,pSP12,$\theta_5$,SRR12424171
B2_B2_rep2,634,636,B2_B2_rep2.1.2,TCONS_00000017,+,donor,0.28331,B,Huh7,pSP11,$\theta_5$,SRR12424171
B2_B2_rep2,1860,1862,B2_B2_rep2.1.2,TCONS_00000017,+,donor,0.0276,B,Huh7,pSP11,$\theta_5$,SRR12424171
B2_B2_rep2,634,636,B2_B2_rep2.1.3,TCONS_00000001,+,donor,0.28331,B,Huh7,pSP9,$\theta_5$,SRR12424171
B2_B2_rep2,1860,1862,B2_B2_rep2.1.3,TCONS_00000001,+,donor,0.0276,B,Huh7,pSP9,$\theta_5$,SRR12424171
B2_B2_rep2,658,660,B2_B2_rep2.1.4,TCONS_00000009,+,donor,0.02736,B,Huh7,SP18,$\theta_5$,SRR12424171
B2_B2_rep2,1205,1207,B2_B2_rep2.1.4,TCONS_00000009,+,donor,0.03038,B,Huh7,SP18,$\theta_5$,SRR12424171
B2_B2_rep2,634,636,B2_B2_rep2.1.5,TCONS_00000008,+,donor,0.28331,B,Huh7,SP7,$\theta_5$,SRR12424171
B2_B2_rep2,1205,1207,B2_B2_rep2.1.5,TCONS_00000008,+,donor,0.03038,B,Huh7,SP7,$\theta_5$,SRR12424171
B2_B2_rep2,274,276,B2_B2_rep2.1.7,TCONS_00000030,+,donor,0.03483,B,Huh7,SP4,$\theta_5$,SRR12424171
B2_B2_rep2,634,636,B2_B2_rep2.1.7,TCONS_00000030,+,donor,0.28331,B,Huh7,SP4,$\theta_5$,SRR12424171
C2_C2_rep1_A,634,636,C2_C2_rep1_A.1.1,TCONS_00000016,+,donor,0.16847,C,Huh7,pSP8,$\theta_5$,SRR12424172
C2_C2_rep1_A,1205,1207,C2_C2_rep1_A.1.1,TCONS_00000016,+,donor,0.10563,C,Huh7,pSP8,$\theta_5$,SRR12424172
C2_C2_rep1_A,1860,1862,C2_C2_rep1_A.1.1,TCONS_00000016,+,donor,0.01435,C,Huh7,pSP8,$\theta_5$,SRR12424172
C2_C2_rep1_A,274,276,C2_C2_rep1_A.1.11,TCONS_00000030,+,donor,0.02182,C,Huh7,SP4,$\theta_5$,SRR12424172
C2_C2_rep1_A,634,636,C2_C2_rep1_A.1.11,TCONS_00000030,+,donor,0.16847,C,Huh7,SP4,$\theta_5$,SRR12424172
C2_C2_rep1_A,634,636,C2_C2_rep1_A.1.12,TCONS_00000012,+,donor,0.16847,C,Huh7,SP1,$\theta_5$,SRR12424172
C2_C2_rep1_A,634,636,C2_C2_rep1_A.1.13,TCONS_00000013,+,donor,0.16847,C,Huh7,SP9,$\theta_5$,SRR12424172
C2_C2_rep1_A,634,636,C2_C2_rep1_A.1.14,TCONS_00000015,+,donor,0.16847,C,Huh7,SP13,$\theta_5$,SRR12424172
C2_C2_rep1_A,1205,1207,C2_C2_rep1_A.1.15,TCONS_00000014,+,donor,0.10563,C,Huh7,SP14,$\theta_5$,SRR12424172
C2_C2_rep1_A,274,276,C2_C2_rep1_A.1.18,TCONS_00000021,+,donor,0.02182,C,Huh7,SP5,$\theta_5$,SRR12424172
C2_C2_rep1_A,634,636,C2_C2_rep1_A.1.4,TCONS_00000008,+,donor,0.16847,C,Huh7,SP7,$\theta_5$,SRR12424172
C2_C2_rep1_A,1205,1207,C2_C2_rep1_A.1.4,TCONS_00000008,+,donor,0.10563,C,Huh7,SP7,$\theta_5$,SRR12424172
C2_C2_rep1_A,634,636,C2_C2_rep1_A.1.5,TCONS_00000017,+,donor,0.16847,C,Huh7,pSP11,$\theta_5$,SRR12424172
C2_C2_rep1_A,1860,1862,C2_C2_rep1_A.1.5,TCONS_00000017,+,donor,0.01435,C,Huh7,pSP11,$\theta_5$,SRR12424172
C2_C2_rep1_A,634,636,C2_C2_rep1_A.1.6,TCONS_00000001,+,donor,0.16847,C,Huh7,pSP9,$\theta_5$,SRR12424172
C2_C2_rep1_A,1860,1862,C2_C2_rep1_A.1.6,TCONS_00000001,+,donor,0.01435,C,Huh7,pSP9,$\theta_5$,SRR12424172
C2_C2_rep1_A,1205,1207,C2_C2_rep1_A.1.7,TCONS_00000009,+,donor,0.10563,C,Huh7,SP18,$\theta_5$,SRR12424172
C2_C2_rep1_B,634,636,C2_C2_rep1_B.1.1,TCONS_00000016,+,donor,0.16817,C,Huh7,pSP8,$\theta_5$,SRR12424173
C2_C2_rep1_B,1205,1207,C2_C2_rep1_B.1.1,TCONS_00000016,+,donor,0.11916,C,Huh7,pSP8,$\theta_5$,SRR12424173
C2_C2_rep1_B,1860,1862,C2_C2_rep1_B.1.1,TCONS_00000016,+,donor,0.01828,C,Huh7,pSP8,$\theta_5$,SRR12424173
C2_C2_rep1_B,634,636,C2_C2_rep1_B.1.11,TCONS_00000012,+,donor,0.16817,C,Huh7,SP1,$\theta_5$,SRR12424173
C2_C2_rep1_B,634,636,C2_C2_rep1_B.1.12,TCONS_00000013,+,donor,0.16817,C,Huh7,SP9,$\theta_5$,SRR12424173
C2_C2_rep1_B,634,636,C2_C2_rep1_B.1.13,TCONS_00000015,+,donor,0.16817,C,Huh7,SP13,$\theta_5$,SRR12424173
C2_C2_rep1_B,1205,1207,C2_C2_rep1_B.1.14,TCONS_00000014,+,donor,0.11916,C,Huh7,SP14,$\theta_5$,SRR12424173
C2_C2_rep1_B,658,660,C2_C2_rep1_B.1.15,TCONS_00000003,+,donor,0.00508,C,Huh7,SP11,$\theta_5$,SRR12424173
C2_C2_rep1_B,658,660,C2_C2_rep1_B.1.16,TCONS_00000002,+,donor,0.00508,C,Huh7,SP6,$\theta_5$,SRR12424173
C2_C2_rep1_B,634,636,C2_C2_rep1_B.1.17,TCONS_00000019,+,donor,0.16817,C,Huh7,pSP7,$\theta_5$,SRR12424173
C2_C2_rep1_B,274,276,C2_C2_rep1_B.1.18,TCONS_00000021,+,donor,0.0288,C,Huh7,SP5,$\theta_5$,SRR12424173
C2_C2_rep1_B,1205,1207,C2_C2_rep1_B.1.19,TCONS_00000004,+,donor,0.11916,C,Huh7,pSP12,$\theta_5$,SRR12424173
C2_C2_rep1_B,634,636,C2_C2_rep1_B.1.5,TCONS_00000008,+,donor,0.16817,C,Huh7,SP7,$\theta_5$,SRR12424173
C2_C2_rep1_B,1205,1207,C2_C2_rep1_B.1.5,TCONS_00000008,+,donor,0.11916,C,Huh7,SP7,$\theta_5$,SRR12424173
C2_C2_rep1_B,634,636,C2_C2_rep1_B.1.6,TCONS_00000017,+,donor,0.16817,C,Huh7,pSP11,$\theta_5$,SRR12424173
C2_C2_rep1_B,1860,1862,C2_C2_rep1_B.1.6,TCONS_00000017,+,donor,0.01828,C,Huh7,pSP11,$\theta_5$,SRR12424173
C2_C2_rep1_B,634,636,C2_C2_rep1_B.1.7,TCONS_00000001,+,donor,0.16817,C,Huh7,pSP9,$\theta_5$,SRR12424173
C2_C2_rep1_B,1860,1862,C2_C2_rep1_B.1.7,TCONS_00000001,+,donor,0.01828,C,Huh7,pSP9,$\theta_5$,SRR12424173
C2_C2_rep1_B,658,660,C2_C2_rep1_B.1.8,TCONS_00000009,+,donor,0.00508,C,Huh7,SP18,$\theta_5$,SRR12424173
C2_C2_rep1_B,1205,1207,C2_C2_rep1_B.1.8,TCONS_00000009,+,donor,0.11916,C,Huh7,SP18,$\theta_5$,SRR12424173
C2_C2_rep2,634,636,C2_C2_rep2.1.1,TCONS_00000016,+,donor,0.15239,C,Huh7,pSP8,$\theta_5$,SRR12424174
C2_C2_rep2,1205,1207,C2_C2_rep2.1.1,TCONS_00000016,+,donor,0.04772,C,Huh7,pSP8,$\theta_5$,SRR12424174
C2_C2_rep2,1860,1862,C2_C2_rep2.1.1,TCONS_00000016,+,donor,0.00776,C,Huh7,pSP8,$\theta_5$,SRR12424174
C2_C2_rep2,634,636,C2_C2_rep2.1.11,TCONS_00000012,+,donor,0.15239,C,Huh7,SP1,$\theta_5$,SRR12424174
C2_C2_rep2,634,636,C2_C2_rep2.1.12,TCONS_00000013,+,donor,0.15239,C,Huh7,SP9,$\theta_5$,SRR12424174
C2_C2_rep2,634,636,C2_C2_rep2.1.13,TCONS_00000015,+,donor,0.15239,C,Huh7,SP13,$\theta_5$,SRR12424174
C2_C2_rep2,1205,1207,C2_C2_rep2.1.14,TCONS_00000014,+,donor,0.04772,C,Huh7,SP14,$\theta_5$,SRR12424174
C2_C2_rep2,658,660,C2_C2_rep2.1.15,TCONS_00000002,+,donor,0.01086,C,Huh7,SP6,$\theta_5$,SRR12424174
C2_C2_rep2,658,660,C2_C2_rep2.1.16,TCONS_00000003,+,donor,0.01086,C,Huh7,SP11,$\theta_5$,SRR12424174
C2_C2_rep2,274,276,C2_C2_rep2.1.17,TCONS_00000021,+,donor,0.02828,C,Huh7,SP5,$\theta_5$,SRR12424174
C2_C2_rep2,634,636,C2_C2_rep2.1.3,TCONS_00000008,+,donor,0.15239,C,Huh7,SP7,$\theta_5$,SRR12424174
C2_C2_rep2,1205,1207,C2_C2_rep2.1.3,TCONS_00000008,+,donor,0.04772,C,Huh7,SP7,$\theta_5$,SRR12424174
C2_C2_rep2,634,636,C2_C2_rep2.1.4,TCONS_00000017,+,donor,0.15239,C,Huh7,pSP11,$\theta_5$,SRR12424174
C2_C2_rep2,1860,1862,C2_C2_rep2.1.4,TCONS_00000017,+,donor,0.00776,C,Huh7,pSP11,$\theta_5$,SRR12424174
C2_C2_rep2,634,636,C2_C2_rep2.1.5,TCONS_00000001,+,donor,0.15239,C,Huh7,pSP9,$\theta_5$,SRR12424174
C2_C2_rep2,1860,1862,C2_C2_rep2.1.5,TCONS_00000001,+,donor,0.00776,C,Huh7,pSP9,$\theta_5$,SRR12424174
C2_C2_rep2,658,660,C2_C2_rep2.1.6,TCONS_00000009,+,donor,0.01086,C,Huh7,SP18,$\theta_5$,SRR12424174
C2_C2_rep2,1205,1207,C2_C2_rep2.1.6,TCONS_00000009,+,donor,0.04772,C,Huh7,SP18,$\theta_5$,SRR12424174
D3_D3_rep1_A,634,636,D3_D3_rep1_A.1.1,TCONS_00000016,+,donor,0.30085,D,Huh7,pSP8,$\theta_5$,SRR12424175
D3_D3_rep1_A,1172,1174,D3_D3_rep1_A.1.1,TCONS_00000016,+,donor,0.16643,D,Huh7,pSP8,$\theta_5$,SRR12424175
D3_D3_rep1_A,634,636,D3_D3_rep1_A.1.10,TCONS_00000012,+,donor,0.30085,D,Huh7,SP1,$\theta_5$,SRR12424175
D3_D3_rep1_A,1172,1174,D3_D3_rep1_A.1.11,TCONS_00000014,+,donor,0.16643,D,Huh7,SP14,$\theta_5$,SRR12424175
D3_D3_rep1_A,658,660,D3_D3_rep1_A.1.12,TCONS_00000002,+,donor,0.02809,D,Huh7,SP6,$\theta_5$,SRR12424175
D3_D3_rep1_A,634,636,D3_D3_rep1_A.1.13,TCONS_00000015,+,donor,0.30085,D,Huh7,SP13,$\theta_5$,SRR12424175
D3_D3_rep1_A,634,636,D3_D3_rep1_A.1.14,TCONS_00000013,+,donor,0.30085,D,Huh7,SP9,$\theta_5$,SRR12424175
D3_D3_rep1_A,658,660,D3_D3_rep1_A.1.15,TCONS_00000003,+,donor,0.02809,D,Huh7,SP11,$\theta_5$,SRR12424175
D3_D3_rep1_A,1172,1174,D3_D3_rep1_A.1.16,TCONS_00000004,+,donor,0.16643,D,Huh7,pSP12,$\theta_5$,SRR12424175
D3_D3_rep1_A,634,636,D3_D3_rep1_A.1.2,TCONS_00000008,+,donor,0.30085,D,Huh7,SP7,$\theta_5$,SRR12424175
D3_D3_rep1_A,1172,1174,D3_D3_rep1_A.1.2,TCONS_00000008,+,donor,0.16643,D,Huh7,SP7,$\theta_5$,SRR12424175
D3_D3_rep1_A,634,636,D3_D3_rep1_A.1.3,TCONS_00000017,+,donor,0.30085,D,Huh7,pSP11,$\theta_5$,SRR12424175
D3_D3_rep1_A,634,636,D3_D3_rep1_A.1.4,TCONS_00000047,+,donor,0.30085,D,Huh7,pSP10,$\theta_5$,SRR12424175
D3_D3_rep1_A,634,636,D3_D3_rep1_A.1.5,TCONS_00000001,+,donor,0.30085,D,Huh7,pSP9,$\theta_5$,SRR12424175
D3_D3_rep1_A,658,660,D3_D3_rep1_A.1.6,TCONS_00000009,+,donor,0.02809,D,Huh7,SP18,$\theta_5$,SRR12424175
D3_D3_rep1_A,1172,1174,D3_D3_rep1_A.1.6,TCONS_00000009,+,donor,0.16643,D,Huh7,SP18,$\theta_5$,SRR12424175
D3_D3_rep1_B,634,636,D3_D3_rep1_B.1.1,TCONS_00000008,+,donor,0.30229,D,Huh7,SP7,$\theta_5$,SRR12424176
D3_D3_rep1_B,1172,1174,D3_D3_rep1_B.1.1,TCONS_00000008,+,donor,0.17406,D,Huh7,SP7,$\theta_5$,SRR12424176
D3_D3_rep1_B,634,636,D3_D3_rep1_B.1.10,TCONS_00000019,+,donor,0.30229,D,Huh7,pSP7,$\theta_5$,SRR12424176
